Iteration, HV Value
1,0.6203454521218652
2,0.620749615856344
3,0.6243060866603826
4,0.6262397025546956
5,0.6274618158843187
6,0.6280174909230891
7,0.6305644489194145
8,0.6320519659905733
9,0.6328254947150893
10,0.6328346024202505
11,0.6340449513565519
12,0.6352436359580474
13,0.6371923452186783
14,0.6387065959521602
15,0.6390957010604889
16,0.6398155399202922
17,0.6410593375565149
18,0.642584026822091
19,0.6426707417750566
20,0.6435838547175451
21,0.6447311251186926
22,0.6450374492597225
23,0.6453528278846851
24,0.6439725312489779
25,0.6446476568718083
26,0.645704709262816
27,0.6458197464952162
28,0.6463521923394835
29,0.6469195005005604
30,0.6471963164888656
31,0.6479951910768613
32,0.6487223646187722
33,0.6497238718304432
34,0.6498987412884054
35,0.6499746222978487
36,0.6519349299078374
37,0.6532854106330449
38,0.6543633104701969
39,0.6548797754502383
40,0.6557329305659224
41,0.6557443882352049
42,0.6557497684929011
43,0.6560822419757683
44,0.6561292980559084
45,0.656501283569902
46,0.656663970712314
47,0.6567462454935908
48,0.657073129904551
49,0.6571566939208755
50,0.6571705700836045
51,0.657399901579312
52,0.6571448009970844
53,0.657405741760677
54,0.6576979384228491
