Objective1,Objective2,Objective3
57,1656.4158194551926,4597.058115057706
25,1810.4861781414897,2832.836987464709
26,1701.5400400822446,2425.141464876959
25,1787.896099398323,2877.678699375601
25,1735.6055795972572,3100.5716459572886
40,1670.066893978008,2941.8359143714542
37,1674.7887543345182,2686.7475566238436
52,1658.4021686939118,3998.639616581032
54,1658.176614829385,4299.985873628121
26,1701.5400400822446,2425.141464876959
30,1684.8822948479467,2501.71483266192
56,1656.8935831486524,4362.841873715126
36,1679.2760339853276,3318.1870216931316
33,1682.3760534482317,2559.4990984085453
50,1660.8882319066863,3830.68740592461
28,1697.1685887110261,2461.1558134256943
25,1787.896099398323,2877.678699375601
48,1661.7037479538524,3626.7897111939137
44,1667.7007636842907,3158.036365906817
50,1660.7704296197683,3935.422648065318
46,1664.8579515317547,3229.166466203304
48,1664.485068618928,3393.3178922518505
44,1667.04117632481,3163.6461986049253
27,1697.8585827459297,2444.961168088108
47,1664.487853908563,3253.403515646671
48,1663.2431655211535,3434.3617662542792
32,1682.8250549347063,2538.4856780867012
48,1663.73190097208,3432.6269494285625
32,1682.8250549347063,2538.4856780867012
25,1787.896099398323,2877.678699375601
