Objective1,Objective2,Objective3
27,1863.4818295217538,2672.9322735425094
27,1843.4552415150536,2714.8297812430455
26,1839.3041847401614,2721.9660948093688
26,1885.143812942083,2715.474416639107
27,1900.2401414633102,2662.992331501482
27,1904.8851244347163,2624.348728610995
26,1909.6127320768408,2677.832872349974
27,1895.829975212959,2669.850509699248
25,1897.9259456298164,2791.2401465818866
26,1912.8184845232754,2654.5781440810033
26,1888.8244583262278,2698.7933734465905
25,1988.5714300259945,2671.589939351534
