Iteration, HV Value
1,0.6344038289382278
2,0.6371664980329825
3,0.6423660115418414
4,0.6429162398611746
5,0.6437588357292228
6,0.6443986599298392
7,0.6451061419849775
8,0.6456650067801504
9,0.6460262554373172
10,0.6462069866702541
11,0.6464334620052915
12,0.6468540728762867
13,0.6471529467320769
14,0.6474224996445469
15,0.6477133086815556
16,0.6482250905940643
17,0.6485670958816082
18,0.6486765872454183
19,0.6488906129630697
20,0.6541931715595745
21,0.6543801024959321
22,0.65468380569431
23,0.6549430619956417
24,0.6552935477883608
25,0.6559079543156191
26,0.6559519615714359
27,0.6562265165474968
28,0.656493893683477
29,0.6569331750738461
30,0.6569388024370216
31,0.6569945559796394
32,0.657449972618001
33,0.657602632673777
34,0.6577458415190303
35,0.6581194872504222
36,0.6580547044812718
37,0.658019747379648
38,0.6581249609700462
39,0.6582280008638837
40,0.6587281134281052
41,0.6594812647314956
42,0.6595851382533982
43,0.6596366543261745
44,0.6598402235706154
45,0.6600893656685495
46,0.6600965468363318
47,0.6603967239523733
48,0.6606125036691503
49,0.6607302103798535
50,0.6608712824443547
51,0.6613000463075278
52,0.6613474404379107
53,0.66131343898887
54,0.6614817449307918
55,0.6618239565441648
56,0.6618835657472377
57,0.661908417247322
58,0.6619891932332991
59,0.6619911679887831
60,0.6620898813497988
61,0.6622580070935498
62,0.6623090185148633
63,0.6623372186592733
64,0.6622804837685022
65,0.6622905029336424
66,0.6623729934328937
67,0.6624264083513852
68,0.6624957902548118
69,0.6625177130510278
70,0.6625430798640937
71,0.6625543564979616
72,0.6625538690953946
73,0.6625704071544269
74,0.6626084457742857
75,0.6627038480667827
76,0.6627232016947544
77,0.6627209002218816
78,0.6631073936854117
79,0.6632883897724061
