Objective1,Objective2,Objective3
31,521.8472575689492,2123.201610294514
26,553.1176881643382,1765.863612450681
25,548.0519551049268,1866.492750420901
31,523.217998547828,2056.7409472888776
29,532.0290273990341,1973.2055785183056
27,548.8388892046828,1796.1343543042349
29,529.6401565286285,2072.3833167008256
28,535.1087327882383,1952.9321980871282
30,525.834778637518,1960.3546136385205
28,532.5707343525319,2096.1593290952665
27,537.7805716597313,1911.2380789311178
30,527.7923452715465,1959.5666313557826
26,544.9724595526675,1844.603767347824
26,541.8148499476662,1889.149351298333
26,542.3970341949273,1872.848891442094
27,548.6982935613266,1834.899371552286
26,544.9724595526675,1844.603767347824
28,536.0023394085666,1892.0164212406046
29,532.4007354548285,1920.0308597532855
28,533.2876646499931,1968.5537335071185
26,540.4690092670111,1890.7641864911986
27,538.5409841715738,1889.314835320807
