Objective1,Objective2,Objective3
25,1770.3854247117883,2585.1136984977893
53,1724.2067816002539,4463.392328346499
27,1752.7293511115759,2279.9521353183763
33,1742.8792865539779,2615.004240313418
29,1748.117050261881,2425.166178532756
35,1740.7491992784805,2736.6207717461552
26,1756.1035272170866,2371.0938203096125
25,1762.8866241233686,3368.855833076655
39,1737.2196998351799,2792.412895807511
46,1728.659854113439,3747.8515457961025
49,1727.496581176952,4123.551540025071
42,1736.000401923041,2894.664918510942
45,1731.2968449035181,3419.8984370026574
52,1725.7782265908554,4253.2327416344315
25,1766.835064512666,2727.9299654892957
44,1733.643706367008,3031.8740412708057
29,1750.0882159044158,2403.215919310472
48,1728.1001639024173,4029.700982960114
47,1728.2765256501737,3966.435765993277
52,1724.6890689320333,4458.6873832333185
53,1725.3972238698202,4257.16541309029
27,1752.7293511115759,2279.9521353183763
45,1731.9029538804211,3160.5048143082804
47,1728.4746765342068,3778.1450257118336
41,1736.466119775163,2872.4887715890045
40,1737.0862092624038,2825.82283312614
25,1770.115293042513,2597.1463066500933
44,1731.9587436492013,3400.60962135878
44,1733.0774605188071,3131.8637127080137
45,1732.364643839694,3155.4236864931463
25,1770.115293042513,2597.1463066500933
