Objective1,Objective2,Objective3
25,435.9562868615426,2526.6726726831807
35,371.8604620208585,3122.589032047662
33,374.751589971553,3071.7739489060696
25,434.5593261299037,2530.4194649278775
26,417.7483054075203,2547.2679170182832
28,403.33105317980585,2624.9901129858563
30,390.67001032944415,2889.4095987324217
29,397.94566726044684,2785.9350318461225
34,372.0889410698224,3105.4538782621935
32,379.8637019283648,2999.07933290908
27,409.70934529650935,2613.2132748580825
31,386.7552369749368,2689.858637878148
31,384.6552574217458,2941.3421205725654
30,393.58433459368007,2679.5648944650366
29,397.8688686436884,2817.456818055936
26,416.8970783376384,2550.4545451740164
31,384.6552574217458,2941.3421205725654
27,411.2568724819391,2574.541357240662
32,379.8637019283648,2999.07933290908
29,395.86847065198486,2842.5981552330645
26,412.85076580882145,2585.0874682022745
35,371.8604620208585,3122.589032047662
29,400.43916527678664,2641.757209464829
32,379.8637019283648,2999.07933290908
29,400.43916527678664,2641.757209464829
