Objective1,Objective2,Objective3
27,492.875080475193,4151.471852325928
27,524.5790675579813,4054.718519626643
27,519.641940858715,4065.232351059175
30,480.8189131786586,4232.288952313579
29,481.9546301584949,4169.827146070253
28,481.97259933083325,4271.077271832908
30,480.96986175869506,4218.000023433597
28,492.9334629264467,4110.506874692891
28,499.3963786810746,4056.2467214266985
26,522.6871341960442,4158.046251665295
28,498.9136830313066,4095.9039081892483
26,523.3607932245493,4145.781425901143
29,477.27411934072114,4321.110310091283
27,519.8269477332224,4062.7232661049634
24,545.0393784701567,4265.941688492375
26,502.7088315242237,4188.863437579214
27,501.18247516823743,4094.1933660105856
27,519.728573638075,4062.7477939593355
29,481.6605515415801,4202.164448119375
30,480.6842538287572,4309.021934057958
24,552.9118716965486,4240.8331902503805
24,553.5376484681474,4209.5038835347705
25,546.5032866201261,4120.1428836112955
27,518.5302870764928,4076.15357266817
26,525.5134615751389,4130.963714481714
26,528.1087795106449,4042.4878466221044
30,469.33015393817396,4334.621281143377
27,517.251696570043,4087.6132652979077
26,524.5679333151302,4131.6345888239275
28,492.7927715948937,4137.857700868415
28,483.29817115964084,4266.091978150085
26,523.8270199420458,4137.663585059902
28,492.7927715948937,4137.857700868415
26,528.633639096751,4035.740108846137
26,497.7422608308754,4197.250494190502
30,476.66507391781096,4322.537686842662
28,483.8190452401545,4156.336751498027
26,502.06989463088973,4195.788708050449
27,517.251696570043,4087.6132652979077
25,525.5677888820811,4139.750221860685
25,529.3647665315318,4139.591325002849
28,489.6323296567544,4146.647531481931
26,526.973586570681,4123.803435575334
25,520.490294757718,4178.316686221129
24,541.6041995212839,4303.175119391898
26,527.3488761854405,4071.9167708301607
