Objective1,Objective2,Objective3
27,1403.1904627503834,2741.017335748226
27,1497.2528468282358,2711.3928855550953
27,1423.0704469586913,2733.0672987652974
27,1641.5883173351363,2662.1371992990303
26,1543.0704701940442,2690.176644520168
27,1571.1187100139819,2682.2297265932175
26,1498.1968232314696,2696.34745660545
26,1500.1011033040816,2695.745717124669
25,1487.065676566433,2752.0341781253564
27,1482.429121505242,2718.9156704821644
27,1607.96905368197,2668.634636888041
27,1575.310904017319,2671.9917688623864
