Objective1,Objective2,Objective3
25,1110.2268396378233,2329.1273067998327
36,1072.0022550831388,2691.943191836871
26,1101.4765108007045,3029.696346663203
27,1097.735696751137,2402.159341885154
35,1073.3141351831023,2660.2025110835057
28,1093.515983739034,2436.2780372011016
30,1089.0634251064655,2500.755427672462
29,1086.898672829466,2515.833891829699
32,1081.592872905593,2560.8163277843805
31,1085.1865089992136,2505.6383321263847
28,1091.1415455202532,2439.058720707584
26,1106.712309826703,2458.982524457623
34,1075.5944488217256,2634.0648831042445
33,1078.4672553268924,2595.5206673081816
25,1110.2268396378233,2329.1273067998327
31,1086.8529673519256,2479.4210310234075
26,1105.7791740001035,2459.341135945242
34,1076.4654420053037,2628.6218093489388
33,1076.8906810516096,2614.869569227756
32,1079.5575527805759,2576.1653744128944
26,1101.584267931563,2511.5446274644887
25,1110.2051525547852,2489.411316031238
31,1080.8412013137208,2580.5819955067427
32,1079.5575527805759,2576.1653744128944
32,1081.592872905593,2560.8163277843805
33,1076.8906810516096,2614.869569227756
33,1076.8906810516096,2614.869569227756
25,1110.2268396378233,2329.1273067998327
