Objective1,Objective2,Objective3
26,503.13879332566506,4231.828456141765
25,514.3082615453394,3777.887119212401
27,505.4126758356656,4077.5206855606407
26,503.0828023747186,4263.536706865524
25,517.3960697246961,3757.423029295894
24,527.1004568932154,3760.813628139354
25,518.5383902867883,3752.864128431218
25,506.80234553155844,3804.545031217044
25,506.31224893166814,3829.208863047238
25,528.2672911755953,3676.7622889454183
26,521.7446787787754,3714.303528377496
25,516.7063098319755,3764.6028371725374
26,505.4187691475089,4165.333374374387
25,545.4537538886746,3620.469472904878
25,524.0916365023992,3704.6896397372698
25,532.0508652371622,3634.1204873005036
25,528.4977236830846,3676.762288945418
24,533.120057939946,3690.951733720154
25,513.6185016526189,3785.0669270890444
25,529.3831080536132,3660.4008239562236
25,522.6880260493318,3718.2273836441623
25,545.1671049833071,3631.6364786648373
25,531.8204327296729,3634.120487300504
25,524.2884651664657,3680.4193060361454
25,545.1671049833071,3631.6364786648373
25,519.5605344534523,3752.351710995651
26,521.4194764957913,3722.752293704042
26,504.9871823053151,4191.759844899069
24,544.7456357107793,3660.085142584975
25,531.4881725338851,3644.8516772773282
24,555.0173174338554,3658.0047804715327
24,532.3384700827675,3728.7272986949934
25,523.8612039949099,3704.68963973727
24,547.6256575166027,3658.1217506161006
