Objective1,Objective2,Objective3
26,1728.597903683871,2969.606711127032
25,1769.4416982079608,2969.1774182619597
26,1589.6539584823838,3206.2961146643647
27,1556.9766030918734,3276.589674231043
25,1533.9239672586386,3370.6635265712744
27,1545.1676479278303,3316.120698166798
27,1545.1676479278303,3316.120698166798
24,1546.7897889259111,3366.3007089946805
25,1590.383735756922,3188.5077256399118
24,1552.1639898967762,3353.8154196181
25,1643.5334332492282,2972.548042877592
25,1548.5909687569376,3353.3545873224984
24,1656.493190462976,2991.299599970904
25,1568.7440381698386,3210.912343088159
25,1506.1121347299934,3658.075246376887
27,1556.9766030918734,3276.589674231043
24,1623.4222083686468,3100.798526266635
26,1534.120418893742,3337.549536544035
25,1780.4914164594495,2963.9416456162417
24,1533.172925641081,3373.6003465053477
25,1594.7856805069252,3082.186637852522
27,1517.2825117334744,3345.7682670432496
24,1619.9178599083914,3189.9048025165557
24,1531.3026598491945,3392.764767964395
27,1536.0966524530731,3326.9476389512383
24,1644.8413537451488,3039.601956514326
26,1560.9306954014996,3279.500922794389
24,1630.4317235712028,3093.6578543971536
26,1545.929374057785,3298.01851260828
24,1543.789664841456,3370.6494713533707
24,1531.323076718256,3381.1675049737005
24,1618.5492139389853,3224.5807035397293
25,1552.1694110309425,3283.5852803782977
24,1522.917118160067,3412.0195699631
25,1500.320845859707,3677.2634212548887
24,1554.3667563787806,3315.9355042317648
24,1564.4985426312805,3233.197577519688
26,1765.0780476198727,2960.407700658106
24,1516.113056691124,3437.944826067047
26,1535.8329959296593,3335.9961138698677
24,1646.6657712762162,2991.444419119362
26,1738.3874062732216,2960.8255391554358
24,1630.48944532911,3093.657854397153
25,1506.6131772903263,3576.275520516873
