Iteration, HV Value
1,0.6146965963789446
2,0.6178560825017938
3,0.6162837866471973
4,0.6169156746820055
5,0.6193360484247079
6,0.6204644477643844
7,0.6215714184661587
8,0.6235677242225849
9,0.624650147105645
10,0.6259752270745684
11,0.6270300439139374
12,0.6287922160918162
13,0.6289888636635224
14,0.6292307311131768
15,0.6300331947696312
16,0.630123188931259
17,0.6312190025661092
18,0.6330528404965748
19,0.6332480932164157
20,0.6345191231364576
21,0.6361075171759122
22,0.6369158777468168
23,0.6379927509324363
24,0.6382953850658695
25,0.6393571438436069
26,0.6402797345173682
27,0.6406979437573794
28,0.6423951437518954
29,0.643394799373977
30,0.6439130933232771
31,0.6441535736704416
32,0.6441720707705721
33,0.6444121910449682
34,0.6446879323665173
35,0.6453042174178277
36,0.6461018539336396
37,0.6467661133850973
38,0.6466865899623951
39,0.6468971007198783
40,0.6475126686883098
41,0.6475911582581535
42,0.6477332598544656
43,0.648221999167053
44,0.6482877708699925
45,0.6488647724699416
46,0.6491723809232666
47,0.6497787501580349
48,0.6497772969937283
49,0.6502183333848642
50,0.6503883662113403
51,0.6504479209498738
52,0.6509204057725909
53,0.6509299680549405
54,0.6512447773696981
55,0.6515685279419122
